Prompt,Prompt RU origin,Prompt RU,Job,Job RU,Metric
Create tips for efficient task management and scheduling as a virtual assistant.,Создайте советы по эффективному управлению задачами и составлению расписания в качестве виртуального помощника.,Создай советы по эффективному управлению задачами и составлению расписания в качестве виртуального помощника.,Freelancer Management,Работа с фрилансерами,7.17
How can I boost employee retention?,Как повысить уровень удержания сотрудников?,"Как повысить уровень удержания сотрудников?
Сделай повышение уровня удержания сотрудников.",Freelancer Management,Работа с фрилансерами,7.16
Develop a list of online courses and certifications beneficial for virtual assistants.,"Составьте список онлайн-курсов и сертификатов, полезных для виртуальных помощников.","Составь список онлайн-курсов и сертификатов, полезных для виртуальных помощников.",Freelancer Management,Работа с фрилансерами,7.16
Write a guide on work-life balance for virtual assistants.,Напишите руководство по балансу между работой и личной жизнью для виртуальных ассистентов.,Напиши руководство по балансу между работой и личной жизнью для виртуальных ассистентов.,Freelancer Management,Работа с фрилансерами,7.16
"Act as a manager of the team, can you write, in the format of a message to your team, to warm-heartily intro a new team member and welcome [name] to the team. remove subject line, remove signature, and remove greetings.","Выступите в роли менеджера команды, можете ли вы написать в формате сообщения для своей команды, чтобы тепло и сердечно представить нового члена команды и поприветствовать [имя] в команде. удалите строку темы, удалите подпись и удалите приветствие.","Ты выступи в роли менеджера команды, можешь ли ты написать в формате сообщения для своей команды, чтобы тепло и сердечно представить нового члена команды и поприветствовать [имя] в команде. удалите строку темы, удалите подпись и удалите приветствие.",Freelancer Management,Работа с фрилансерами,7.12
"Write a 100% unique, human-written, SEO-optimized, and interesting blog post about <topic> using a <desired tone> tone. Your post should be <desired word count> words long and have creative titles for the blog post and each section. Aim to include <desired number of sections and paragraphs in each section>. Use active voice and transition words to create a clear and engaging flow throughout the post. Incorporate the following keywords in a natural-sounding way where they make sense: <keywords>.","Напишите 100% уникальную, написанную человеком, SEO-оптимизированную и интересную статью в блоге на <тему>, используя <желаемый тон>. Ваш пост должен быть объемом <желаемое количество слов> и иметь креативные заголовки для всего поста и каждого раздела. Постарайтесь включить <желаемое количество разделов и параграфов в каждом разделе>. Используйте активную речь и переходные слова, чтобы создать четкий и увлекательный поток по всему посту. Используйте следующие ключевые слова в естественном звучании, где они имеют смысл: <ключевые слова>.","Составь 100% уникальную, написанную человеком, SEO-оптимизированную и интересную статью в блоге на <тему>, используя <желаемый тон>. Твой пост должен быть объемом <желаемое количество слов> и иметь креативные заголовки для всего поста и каждого раздела. Постарайся включить <желаемое количество разделов и параграфов в каждом разделе>. Используй активную речь и переходные слова, чтобы создать четкий и увлекательный поток по всему посту. Используй следующие ключевые слова в естественном звучании, где они имеют смысл: <ключевые слова>.",Freelancer Management,Работа с фрилансерами,7.12
Create a list of popular job boards and platforms where virtual assistants can find work.,"Составьте список популярных досок объявлений и платформ, на которых виртуальные помощники могут найти работу.","Составь список популярных досок объявлений и платформ, на которых виртуальные помощники могут найти работу.",Freelancer Management,Работа с фрилансерами,7.11
Generate a guide on how to build a portfolio and gather client testimonials.,Составьте руководство по созданию портфолио и сбору отзывов клиентов.,Составь руководство по созданию портфолио и сбору отзывов клиентов.,Freelancer Management,Работа с фрилансерами,7.11
Write a [number of words] email to [prospective contributor] to request a guest post contribution,Напишите письмо [количество слов] по электронной почте [потенциальному автору] с просьбой предоставить гостевой пост,Напиши письмо [количество слов] по электронной почте [потенциальному автору] с просьбой предоставить гостевой пост,Freelancer Management,Работа с фрилансерами,6.98
Develop a list of essential tools and software for virtual assistants.,Составить список необходимых инструментов и программного обеспечения для виртуальных помощников.,Составь список необходимых инструментов и программного обеспечения для виртуальных помощников.,Freelancer Management,Работа с фрилансерами,6.97
"Write an excel formula to return the value in [cell1] if [cell2] is blank, and [cell2] otherwise.","Напишите формулу excel, которая возвращает значение в [ячейке1], если [ячейка2] пуста, и [ячейка2] в противном случае.","Напиши формулу excel, которая возвращает значение в [ячейке1], если [ячейка2] пуста, и [ячейка2] в противном случае.",Freelancer Management,Работа с фрилансерами,6.97
"Create comic book art prompts that showcase action-packed scenes [e.g. a car chase, a battle between good and evil]","Создать иллюстрации к комиксам, в которых будут показаны насыщенные действием сцены (например, автомобильная погоня, битва добра со злом).","Создай иллюстрации к комиксам, в которых будут показаны насыщенные действием сцены (например, автомобильная погоня, битва добра со злом).",Freelancer Management,Работа с фрилансерами,6.96
Generate an article on the pros and cons of being a virtual assistant.,Создать статью о плюсах и минусах работы виртуального помощника.,Создай статью о плюсах и минусах работы виртуального помощника.,Freelancer Management,Работа с фрилансерами,6.93
Create an article on how virtual assistants can expand their business through subcontracting and partnerships.,"Подготовьте статью о том, как виртуальные помощники могут расширить свой бизнес за счет субподряда и партнерства.","Подготовь статью о том, как виртуальные помощники могут расширить свой бизнес за счет субподряда и партнерства.",Freelancer Management,Работа с фрилансерами,6.92
Write a list of [number] ways to handle employee turnover,Составить список [количество] способов решения проблемы текучести кадров,Составь список [количество] способов решения проблемы текучести кадров,Freelancer Management,Работа с фрилансерами,6.75
"Write a social media post promoting a limited-time offer on our website for [product/service], with a clear call-to-action and link to the offer page.","Напишите пост в социальных сетях, рекламирующий ограниченное по времени предложение на нашем сайте для [продукта/услуги], с четким призывом к действию и ссылкой на страницу предложения.","Напиши пост в социальных сетях, рекламирующий ограниченное по времени предложение на нашем сайте для [продукта/услуги], с четким призывом к действию и ссылкой на страницу предложения.",Own Online Store Sales,Онлайн продажи,7.67
"Help me identify the key elements of a marketing email in <insert specific context, e.g., B2B, B2C, e-commerce> that I should split test to improve my conversion rate, engagement, and open rates. Also, identify the most critical factors, such as subject lines, copy length, images, CTA, personalization, or sender name, and what are the best practices for designing and implementing A/B tests for each of them.","Помогите мне определить ключевые элементы маркетингового письма в <вставьте конкретный контекст, например, B2B, B2C, электронная коммерция>, которые я должен разделить на части, чтобы повысить коэффициент конверсии, вовлеченности и открываемости. Кроме того, определите наиболее важные факторы, такие как тематические строки, длина копии, изображения, CTA, персонализация или имя отправителя, и укажите лучшие практики разработки и проведения A/B-тестов для каждого из них.","Помоги мне определить ключевые элементы маркетингового письма в <вставьте конкретный контекст, например, B2B, B2C, электронная коммерция>, которые я должен разделить на части, чтобы повысить коэффициент конверсии, вовлеченности и открываемости. Кроме того, определи наиболее важные факторы, такие как тематические строки, длина копии, изображения, CTA, персонализация или имя отправителя, и укажи лучшие практики разработки и проведения A/B-тестов для каждого из них.",Own Online Store Sales,Онлайн продажи,7.63
"I want you to create a promotional LinkedIn post for <your product/service name, key benefits, features, and target audience>. Please ensure that the post is engaging and informative and highlights the key benefits of our product/service for our target audience.","Я хочу, чтобы вы создали рекламный пост в LinkedIn для <название вашего продукта/услуги, ключевые преимущества, особенности и целевая аудитория>. Пожалуйста, убедитесь, что пост будет интересным и информативным и подчеркнет ключевые преимущества нашего продукта/услуги для целевой аудитории.","Я хочу, чтобы ты создал рекламный пост в LinkedIn для <название вашего продукта/услуги, ключевые преимущества, особенности и целевая аудитория>. Пожалуйста, убедись, что пост будет интересным и информативным и подчеркни ключевые преимущества нашего продукта/услуги для целевой аудитории.",Own Online Store Sales,Онлайн продажи,7.56
"Write a persuasive caption that highlights the benefits of using our [product/service] on social media. Mention specific pain points that the product/service can solve and how it can make the user’s life easier, more productive or more enjoyable. Use clear and concise language to make the benefits stand out.","Напишите убедительную надпись, в которой расскажите о преимуществах использования нашего [продукта/услуги] в социальных сетях. Упомяните конкретные болевые точки, которые может решить продукт/услуга, и то, как он может сделать жизнь пользователя проще, продуктивнее или приятнее. Используйте четкие и лаконичные формулировки, чтобы подчеркнуть преимущества.","Напиши убедительную надпись, в которой расскажешь о преимуществах использования нашего [продукта/услуги] в социальных сетях. Упомяни конкретные болевые точки, которые может решить продукт/услуга, и то, как он может сделать твою жизнь проще, продуктивнее или приятнее. Используй четкие и лаконичные формулировки, чтобы подчеркнуть преимущества.",Own Online Store Sales,Онлайн продажи,7.54
Identify the most effective strategies for rapidly growing an email list of <insert target audience> subscribers while maintaining high engagement and avoiding spam complaints.,"Определите наиболее эффективные стратегии для быстрого роста списка подписчиков <вставьте целевую аудиторию>, сохраняя при этом высокую вовлеченность и избегая жалоб на спам.","Определи наиболее эффективные стратегии для быстрого роста списка подписчиков <вставьте целевую аудиторию>, сохраняя при этом высокую вовлеченность и избегая жалоб на спам.",Own Online Store Sales,Онлайн продажи,7.5
Craft an email sequence for cart abandonment recovery in a dropshipping store.,Составьте последовательность электронных писем для возврата корзины в дропшиппинг-магазине.,Составь последовательность электронных писем для возврата корзины в дропшиппинг-магазине.,Own Online Store Sales,Онлайн продажи,7.45
"What are some effective tactics for increasing click-through rates and conversions for affiliate products, such as using call-to-action buttons, optimizing landing pages, and leveraging social proof?","Каковы некоторые эффективные тактики увеличения количества кликов и конверсии для партнерских продуктов, такие как использование кнопок призыва к действию, оптимизация целевых страниц и использование социального доказательства?","Какие некоторые эффективные тактики увеличения количества кликов и конверсии для партнерских продуктов? Сделай использование кнопок призыва к действию, оптимизацию целевых страниц и использование социального доказательства.",Own Online Store Sales,Онлайн продажи,7.41
"Create a welcome email series for new subscribers of our [Product/Service]. The series should introduce our [Company/Brand], highlight key features of the [Product/Service], and provide [Incentive/Offer] for their first purchase.","Создайте серию приветственных писем для новых подписчиков нашего [продукта/услуги]. Серия должна представлять нашу [Компанию/бренд], освещать ключевые особенности [Продукта/услуги] и предоставлять [Стимул/предложение] для первой покупки.","Создай серию приветственных писем для новых подписчиков нашего [продукта/услуги]. Серия должна представлять нашу [Компанию/бренд], освещать ключевые особенности [Продукта/услуги] и предоставлять [Стимул/предложение] для первой покупки.",Own Online Store Sales,Онлайн продажи,7.36
Create an email sequence to re-engage customers who abandoned their shopping carts.,"Создать последовательность электронных писем для повторного привлечения клиентов, оставивших свои корзины.","Создай последовательность электронных писем для повторного привлечения клиентов, оставивших свои корзины.",Own Online Store Sales,Онлайн продажи,7.36
Generate tips for improving SEO ranking of a dropshipping store.,Подготовить советы по улучшению SEO-рейтинга дропшиппинг-магазина.,Подготовь советы по улучшению SEO-рейтинга дропшиппинг-магазина.,Own Online Store Sales,Онлайн продажи,7.36
Come up with a TikTok challenge idea related to [topic] that will go viral.,"Придумать идею TikTok-задачи по [теме], которая станет вирусной.","Придумай идею TikTok-задачи по [теме], которая станет вирусной.",Own Online Store Sales,Онлайн продажи,7.29
Write a social media ad that addresses a pain point or challenge of [your target audience] and shows how [product/service] can help.,"Напишите рекламное объявление в социальных сетях, которое затрагивает болевую точку или проблему [вашей целевой аудитории] и показывает, как [продукт/услуга] может помочь.","Напиши рекламное объявление в социальных сетях, которое затрагивает болевую точку или проблему твоей целевой аудитории и показывает, как продукт/услуга может помочь.",Own Online Store Sales,Онлайн продажи,7.29
"I want you to write a promotional TikTok video script for <your product/service name, key benefits, features, and target audience>. Please ensure that the video is engaging, informative, and highlights the key benefits of our product/service for our target audience. Please also include relevant hashtags in the video captions.","Я хочу, чтобы вы написали сценарий рекламного видеоролика TikTok для <название вашего продукта/услуги, ключевые преимущества, особенности и целевая аудитория>. Пожалуйста, убедитесь, что видеоролик будет увлекательным, информативным и подчеркнет ключевые преимущества нашего продукта/услуги для целевой аудитории. Просьба также включить соответствующие хэштеги в подписи к видео.","Я хочу, чтобы ты написал сценарий рекламного видеоролика TikTok для <название вашего продукта/услуги, ключевые преимущества, особенности и целевая аудитория>. Пожалуйста, убедись, что видеоролик будет увлекательным, информативным и подчеркнет ключевые преимущества нашего продукта/услуги для целевой аудитории. Просьба также включить соответствующие хэштеги в подписи к видео.",Own Online Store Sales,Онлайн продажи,7.27
"I want you to write a script for a YouTube video promoting <your product/service>. Please ensure that the script is engaging and informative and highlights the key benefits of our product/service for our target audience. Also, provide suggestions for appropriate visuals and background music.","Я хочу, чтобы вы написали сценарий для видеоролика на YouTube, рекламирующего <ваш продукт/услугу>. Пожалуйста, убедитесь, что сценарий является увлекательным и информативным и подчеркивает ключевые преимущества нашего продукта/услуги для целевой аудитории. Кроме того, предложите подходящие визуальные эффекты и фоновую музыку.","Я хочу, чтобы ты написал сценарий для видеоролика на YouTube, рекламирующего <ваш продукт/услугу>. Пожалуйста, убедись, что сценарий является увлекательным и информативным и подчеркивает ключевые преимущества нашего продукта/услуги для целевой аудитории. Кроме того, предложи подходящие визуальные эффекты и фоновую музыку.",Own Online Store Sales,Онлайн продажи,7.27
Suggest a specific product or service from our website in a social media post and offer a limited-time discount for those who click through the link.,"Предложите конкретный товар или услугу с нашего сайта в сообщении в социальных сетях и предложите ограниченную скидку для тех, кто перейдет по ссылке.","Предложи конкретный товар или услугу с нашего сайта в сообщении в социальных сетях и предложи ограниченную скидку для тех, кто перейдет по ссылке.",Own Online Store Sales,Онлайн продажи,7.27
Develop a social media marketing plan for a dropshipping business selling fitness gear.,"Разработать план маркетинга в социальных сетях для дропшиппинг-бизнеса, занимающегося продажей товаров для фитнеса.","Составь план маркетинга в социальных сетях для дропшиппинг-бизнеса, занимающегося продажей товаров для фитнеса.",Own Online Store Sales,Онлайн продажи,7.21
Generate a post that features an exclusive discount code for our [product/service] for a limited time.,"Создать пост, содержащий эксклюзивный код скидки на наш [товар/услугу] в течение ограниченного времени.","Создай пост, содержащий эксклюзивный код скидки на наш [товар/услугу] в течение ограниченного времени.",Own Online Store Sales,Онлайн продажи,7.17
List [number] personal branding types I can use for social selling.,"Перечислите [количество] типов персонального брендинга, которые я могу использовать для социальных продаж.","Перечисли [количество] типов персонального брендинга, которые ты можешь использовать для социальных продаж.",Own Online Store Sales,Онлайн продажи,7.17
Develop a social media post promoting our latest [product/service] and linking to our website.,"Разработайте пост в социальных сетях, рекламирующий наш новый [продукт/услугу] и дающий ссылку на наш сайт.","Составь пост в социальных сетях, рекламирующий наш новый [продукт/услугу] и давай ссылку на наш сайт.",Own Online Store Sales,Онлайн продажи,7.17
Generate a list of [number] ways to increase [product/service] sales,Составить список из [количества] способов увеличения продаж [продукта/услуги].,Составь список из [количества] способов увеличения продаж [продукта/услуги].,Own Online Store Sales,Онлайн продажи,7.17
How can I improve my business' email list?,Как я могу улучшить список адресов электронной почты своего бизнеса?,Как ты можешь улучшить список адресов электронной почты своего бизнеса?,Own Online Store Sales,Онлайн продажи,7.16
Write an engaging promotional Pinterest post for [product/service] that encourages viewers to take [action].,"Напишите увлекательный рекламный пост в Pinterest для [продукта/услуги], побуждающий зрителей совершить [действие].","Составь увлекательный рекламный пост в Pinterest для [продукта/услуги], побуждающий зрителей совершить [действие].",Own Online Store Sales,Онлайн продажи,7.16
"Behave like an e-commerce SEO expert and write a meta tile for [ product name], from the [industry name] industry.",Поведите себя как SEO-эксперт в области электронной коммерции и напишите метапоиск для [ название продукта] из отрасли [название отрасли].,Поведи себя как SEO-эксперт в области электронной коммерции и напиши метапоиск для [ название продукта] из отрасли [название отрасли].,Own Online Store Sales,Онлайн продажи,7.16
What should I include on my resume if I'm applying in [specific industry].,"Что я должен включить в свое резюме, если я претендую на работу в [конкретной отрасли].","Что ты должен включить в свое резюме, если ты претендуешь на работу в [конкретной отрасли].",Own Online Store Sales,Онлайн продажи,7.16
Generate an email to send to a customer with a personalized upselling or cross-selling suggestion,Сгенерируйте электронное письмо для отправки клиенту с персональным предложением по увеличению продаж или перекрестных продаж.,Сгенерируй электронное письмо для отправки клиенту с персональным предложением по увеличению продаж или перекрестных продаж.,Own Online Store Sales,Онлайн продажи,7.16
"Write a case study on a successful dropshipping business, focusing on marketing strategies and scaling.","Напишите тематическое исследование успешного дропшиппинг-бизнеса, уделяя особое внимание маркетинговым стратегиям и масштабированию.","Составь тематическое исследование успешного дропшиппинг-бизнеса, уделяя особое внимание маркетинговым стратегиям и масштабированию.",Own Online Store Sales,Онлайн продажи,7.16
Write a persuasive subject line to grab the attention of [prospect] in a cold email introducing [product/service],"Составить убедительную тему письма, чтобы привлечь внимание [потенциального клиента] в холодном письме, представляющем [продукт/услугу].","Составь убедительную тему письма, чтобы привлечь внимание потенциального клиента в холодном письме, представляющем продукт/услугу.",Own Online Store Sales,Онлайн продажи,7.16
Write an email to [existing customer] to [offer a discount/send a coupon],"Напишите письмо [существующему клиенту], чтобы [предложить скидку/выслать купон].","Напиши письмо [существующему клиенту], чтобы [предложить скидку/выслать купон].",Own Online Store Sales,Онлайн продажи,7.16
What are cross-selling opportunities available for my [type] business?,Какие возможности перекрестных продаж существуют для моего [типа] бизнеса?,Какие возможности перекрестных продаж существуют для твоего [типа] бизнеса?,Own Online Store Sales,Онлайн продажи,7.16
Craft a social media post that showcases [product/service] as the solution to [customer pain point].,"Составьте пост в социальных сетях, демонстрирующий [продукт/услугу] как решение [болевой точки клиента].","Составь пост в социальных сетях, демонстрирующий [продукт/услугу] как решение [болевой точки клиента].",Own Online Store Sales,Онлайн продажи,7.16
Write an article comparing dropshipping with traditional retail models.,"Напишите статью, в которой сравните дропшиппинг с традиционными моделями розничной торговли.","Напиши статью, в которой сравни дропшиппинг с традиционными моделями розничной торговли.",Own Online Store Sales,Онлайн продажи,7.16
Code a formula to calculate the total sales of a company based on the data in columns A to D.,Составьте формулу для расчета общего объема продаж компании на основе данных в столбцах A-D.,Составь формулу для расчета общего объема продаж компании на основе данных в столбцах A-D.,Own Online Store Sales,Онлайн продажи,7.16
Write a social media post promoting a limited-time discount on [product/service].,"Написать пост в социальных сетях, рекламирующий ограниченную по времени скидку на [товар/услугу].","Напиши пост в социальных сетях, рекламирующий ограниченную по времени скидку на [товар/услугу].",Own Online Store Sales,Онлайн продажи,7.12
Write 3-second Facebook Ad copy about [product or service].,Напишите 3-секундный рекламный ролик в Facebook о [товаре или услуге].,Напиши 3-секундный рекламный ролик в Facebook о [товаре или услуге].,Own Online Store Sales,Онлайн продажи,7.12
Suggest three types of social media posts that would resonate with [target audience].,"Предложите три типа постов в социальных сетях, которые могли бы найти отклик у [целевой аудитории].","Предложи три типа постов в социальных сетях, которые могли бы найти отклик у тебя.",Own Online Store Sales,Онлайн продажи,7.12
"Create an e-commerce campaign for [product, brand, or service].","Создать кампанию электронной коммерции для [продукта, бренда или услуги].","Создай кампанию электронной коммерции для [продукта, бренда или услуги].",Own Online Store Sales,Онлайн продажи,7.11
Develop a list of common pitfalls to avoid when starting a dropshipping business.,"Составить список типичных ошибок, которых следует избегать при создании дропшиппинг-бизнеса.","Составь список типичных ошибок, которые следует избегать при создании дропшиппинг-бизнеса.",Own Online Store Sales,Онлайн продажи,7.11
Craft a guide on using influencer marketing to boost dropshipping sales.,Составить руководство по использованию маркетинга влиятельных лиц для повышения продаж дропшиппинга.,Составь руководство по использованию маркетинга влиятельных лиц для повышения продаж дропшиппинга.,Own Online Store Sales,Онлайн продажи,7.11
How can I boost email subscribers?,Как увеличить число подписчиков электронной почты?,Как увеличить число подписчиков электронной почты?,Own Online Store Sales,Онлайн продажи,7.11
Act as an e-commerce merchandising specialist and draft a product title for [product] from [brand].,Выступить в роли специалиста по мерчандайзингу в электронной коммерции и составить название товара [товар] от [бренд].,Ты выступи в роли специалиста по мерчандайзингу в электронной коммерции и составь название товара [товар] от [бренд].,Own Online Store Sales,Онлайн продажи,7.11
write an attention-grabbing and engaging caption for my latest video on [topic],Написать привлекающий внимание и интересный заголовок для моего последнего видеоролика на [тему].,Составь привлекающий внимание и интересный заголовок для твоего последнего видеоролика на [тему].,Own Online Store Sales,Онлайн продажи,7.11
Create a social media ad that showcases the benefits of [product/service] for [target audience].,"Создать рекламное объявление в социальных сетях, демонстрирующее преимущества [продукта/услуги] для [целевой аудитории].","Создай рекламное объявление в социальных сетях, демонстрирующее преимущества [продукта/услуги] для [целевой аудитории].",Own Online Store Sales,Онлайн продажи,7.11
Create a subject line that grabs [prospect’s] attention,"Создать тему письма, которая привлечет внимание [потенциального клиента].","Создай тему письма, которая привлечет внимание потенциального клиента.",Own Online Store Sales,Онлайн продажи,7.11
List five topics related to [industry] that would be interesting to our social media followers.,"Перечислите пять тем, связанных с [отраслью], которые были бы интересны нашим подписчикам в социальных сетях.","Перечисли пять тем, связанных с [отраслью], которые были бы интересны нашим подписчикам в социальных сетях.",Own Online Store Sales,Онлайн продажи,7.11
Create an email campaign strategy to re-engage past customers of an online fashion store.,Создать стратегию кампании по электронной почте для повторного привлечения прошлых клиентов интернет-магазина модной одежды.,Создай стратегию кампании по электронной почте для повторного привлечения прошлых клиентов интернет-магазина модной одежды.,Own Online Store Sales,Онлайн продажи,7.11
Generate a social media post that offers a free trial or demo of [product/service] and encourages [target audience] to sign up with their contact information.,"Создать пост в социальных сетях, предлагающий бесплатную пробную версию или демонстрацию [продукта/услуги] и призывающий [целевую аудиторию] подписаться, указав свои контактные данные.","Создай пост в социальных сетях, предлагающий бесплатную пробную версию или демонстрацию [продукта/услуги] и призывающий [целевую аудиторию] подписаться, указав свои контактные данные.",Own Online Store Sales,Онлайн продажи,7.11
List five best practices for following up after a sales call for <your product and target market> to increase the chances of closing the deal.,"Перечислите пять лучших практик последующих действий после звонка по продажам <вашего продукта и целевого рынка>, чтобы увеличить шансы на заключение сделки.","Перечисли пять лучших практик последующих действий после звонка по продажам твоего продукта и целевого рынка, чтобы увеличить шансы на заключение сделки.",Own Online Store Sales,Онлайн продажи,7.11
Generate a list of common mistakes to avoid in affiliate marketing.,"Сформировать список типичных ошибок, которых следует избегать в партнерском маркетинге.","Сформируй список типичных ошибок, которые следует избегать в партнерском маркетинге.",Own Online Store Sales,Онлайн продажи,7.11
Develop a list of high-paying affiliate programs in different industries.,Составить список высокооплачиваемых партнерских программ в различных отраслях.,Составь список высокооплачиваемых партнерских программ в различных отраслях.,Own Online Store Sales,Онлайн продажи,7.11
Craft tips for creating compelling content that naturally incorporates affiliate links.,"Подготовить советы по созданию привлекательного контента, в который естественным образом будут включены партнерские ссылки.","Подготовь советы по созданию привлекательного контента, в который естественным образом будут включены партнерские ссылки.",Own Online Store Sales,Онлайн продажи,7.11
How can companies find influencers to collaborate with?,Как компании могут найти авторитетных людей для сотрудничества?,Как компании могут найти авторитетных людей для сотрудничества?,Agency Partnership,Работа с агентствами,07.03
Outline the benefits of networking and forming partnerships for a new business,Опишите преимущества налаживания связей и партнерских отношений для нового бизнеса.,Опиши преимущества налаживания связей и партнерских отношений для нового бизнеса.,Agency Partnership,Работа с агентствами,6.97
